sentence1,sentence2
It scraped along the bottom of the boat.,The piling caused damage to Kevin's boat.
They tried everything they could do.,They gave up and walked to the library.
Peter watered the seeds every day.,"After a few weeks, his wife had a garden of blooming flowers."
Billy began acquiring plainly colored shirts instead.,Slowly he replaced his entire large shirt collection.
"Aside from her wonderful stories, she was quite a baker.","Today, Dan's grandmother was baking a apple pie."
Allie needed a good grade.,She needed it to move up a level.
Crosby's boss was decided to give out raises.,"She wasn't sure who to give a raise to, so she started evaluating."
Tom wanted to get a new tv.,He wasn't sure about picture quality.
So he used the mall's wifi.,And he read books at a digital library.
Pat wanted some flowers in her yard.,She planted sunflowers and they grew big and tall.
Her friends decide to get her out of the house.,They take her out to dance.
Yesterday was Kyle's birthday.,He would have been 40.
He looked confused and just said that he wanted to study with her.,She felt relieved that he wasn't hitting on her and apologized.
Tim went to the beach with friends.,He offered to drive.
Rosa served the food and the two sat down.,Denny couldn't eat because the food was too fiery.
Tom was out for a jog.,It started to rain a bit.
She kept a smile on her face.,She was able to pass it.
Sally wanted to have a picnic with her friend this weekend.,They decided to have it at the park.
She saw a sample stand and wanted to try something.,They had mozzarella sticks and Anna took one.
Bella assumed it would clear up on its own.,"When her vision got worse, she went to the eye doctor."
I was shy and hoping to meet her at the prom.,When i arrived at the prom she was standing alone.
Amy had gotten bitten by a dog when she was young.,She grew up terrified of dogs.
Will went to the hospital to get checked out.,They ran tests to determine what was wrong with Will.
"Then, I had to run to the bathroom and throw up.",Nothing but acid came out of my mouth.
I was excited to learn that some friends were having a celebration.,It was for New Year's and the party was full of young people.
The family loved camping.,They bought a huge new RV.
While in the lake he lost one of his boots.,"Luckily, he mom bought him a new pair."
Everyone was worried and debating telling on her.,Finally a friend did call her mom.
She made all of the boxes with the numbers.,The other girls came over to play.
He thought they were elegant and very sleek.,He started carrying one of his own.
"Ana was convinced, and she canceled her cable.",But then she saw that there was nothing good on Netflix!
"Dan grabbed his wallet and keys, and ran out the house.",Dan watched as his house was literally on fire.
Ivan wanted a sports car.,But he didn't have enough money.
She wanted to get a tan.,So she headed to the beach.
He went to the woods and walked all day.,"When night fell, he made a fire and waited."
Jake took his girlfriend out to dinner.,He gave his card to pay for it.
John wanted to show his science class a cool experiment.,He mixed several chemicals together.
Sally got angry and posted photos on FB.,I heard the man's wife is threatening divorce.
She tried to get me to play the role of Sir Stephen.,I broke off the relationship.
I moved into a new house one day but needed a tablecloth.,I wasn't sure where to get one so I asked some friends!
An old woman found it in her food.,Landon was very embarrassed.
They wound up actually saving time.,Tom never admitted he was lost.
Mike opened the envelope nervously.,He had gotten a card from a secret admirer.
He sat at home and watched TV until a show gave him an idea.,He turned his story into a murder-mystery!
She went ask her parents if the stories were true.,Peter got in trouble for scaring his sister.
The day of the wedding came.,Shayla was proud that she could finally fit into the dress.
Chucky was having a hard time landing a job.,He just recently graduated college.
Deb's mother missed her very much.,She took a trip to Montana to visit her mother.
Her parents bought her a cello and some sheet music.,June watched instructional videos and practiced day and night.
She thought it would be better to relax at home.,"But after engaging in the activities, she loved it."
Most of their crops died out.,Tim and his family had to sell it and move.
Tom took some time off before returning.,He did much better the second time.
The Smith's stayed in a large cabin and visited many historical sites.,They had a lot of fun doing outdoor and adventure activities.
James and Meg were friends who sometimes slept together.,But one day Meg met a handsome black man who was a doctor.
"Gordy won most of his games, but not all.",Gordy came out third place in the tournament.
All the sudden dozens of horseflies were on her pants biting her.,Anna kept spraying bug spray to kill them but nothing worked.
